M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
4500.,4500.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00251877,0.00148565,0.00059888
4600.,4600.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00201091,0.00119766,0.000478736
4700.,4700.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00160346,0.000965227,0.000382476
4800.,4800.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00127677,0.00077757,0.000305336
4900.,4900.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.00101523,0.000626126,0.000243552
5000.,5000.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.000806138,0.00050397,0.000194117
5100.,5100.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.000638975,0.000405342,0.000154533
5200.,5200.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.000505684,0.000325823,0.000101504
5300.,5300.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.000399422,0.000261661,0.0000975882
5400.,5400.,0.648113,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,101.225,0.0203901,0.0202999,0.120008,0.119988,0.0400091,0.0399895,0.119988,0.119335,101.225,0.0204172,0.,0.0202728,0.227778,0.012218,0.0799986,0.239323,0.000314943,0.000209969,0.0000773948
